基金代码,基金周增长,基金月增长,基金3月增长,基金6月增长,基金年增长,最大回撤,收益波动率,基金6月增长排名,基金年增长排名,最大回撤排名,总平均排名
004250,0.0392564129193062,0.0392564129193062,0.0392564129193062,0.0392564129193062,0.0392564129193062,0.2291,0.011,588.0,588.0,232.0,469.3333333333333
165508,0.0563186813186812,0.0563186813186812,0.0563186813186812,0.0563186813186812,0.0563186813186812,0.3437,0.0093,261.0,261.0,894.5,472.1666666666667
000251,0.0468170139880101,0.0468170139880101,0.0468170139880101,0.0468170139880101,0.0468170139880101,0.2952,0.0064,445.0,445.0,527.5,472.5
009548,0.0698540217497797,0.0698540217497797,0.0698540217497797,0.0698540217497797,0.0698540217497797,0.3827,0.013,80.0,80.0,1260.0,473.3333333333333
004076,0.0535002845759817,0.0535002845759817,0.0535002845759817,0.0535002845759817,0.0535002845759817,0.3348,0.0115,311.0,311.0,803.0,475.0
009791,0.0603896103896103,0.0603896103896103,0.0603896103896103,0.0603896103896103,0.0603896103896103,0.3614,0.0125,195.0,195.0,1047.5,479.1666666666667
004232,0.04445026349383,0.04445026349383,0.04445026349383,0.04445026349383,0.04445026349383,0.2838,0.0047,492.0,492.0,462.5,482.1666666666667
872019,0.0366311594758219,0.0366311594758219,0.0366311594758219,0.0366311594758219,0.0366311594758219,0.2182,0.0081,623.0,623.0,201.5,482.5
012297,0.0445471737760033,0.0445471737760033,0.0445471737760033,0.0445471737760033,0.0445471737760033,0.2848,0.0123,490.0,490.0,472.5,484.1666666666667
008167,0.066709532229545,0.066709532229545,0.066709532229545,0.066709532229545,0.066709532229545,0.3793,0.0118,116.0,116.0,1223.0,485.0
012298,0.0446081009994739,0.0446081009994739,0.0446081009994739,0.0446081009994739,0.0446081009994739,0.2853,0.0124,489.0,489.0,477.0,485.0
009549,0.0700119000396668,0.0700119000396668,0.0700119000396668,0.0700119000396668,0.0700119000396668,0.3867,0.0129,76.0,76.0,1303.5,485.1666666666667
008618,0.0531311154598826,0.0531311154598826,0.0531311154598826,0.0531311154598826,0.0531311154598826,0.3363,0.0105,319.0,319.0,819.0,485.6666666666667
004098,0.0440216790178077,0.0440216790178077,0.0440216790178077,0.0440216790178077,0.0440216790178077,0.2838,0.009,498.0,498.0,462.5,486.1666666666667
